feature_name,feature_category,importance_pre,importance_post,importance_change_pct,rank_pre,rank_post,drivetime,description
old_never_renovated,property,0.00047546622459068586,0.00047546622459068586,0.0,84,84,NA,old_never_renovated
year_renov_missing,property,0.0004542981799259941,0.0004542981799259941,0.0,85,85,NA,year_renov_missing
food_nearest_sit_down_mi,amenity_food,0.0003489620585096431,0.0003489620585096431,0.0,86,86,NA,food_nearest_sit_down_mi
supply_growth_pct,housing,0.00033958568754711857,0.00033958568754711857,0.0,87,87,NA,supply_growth_pct
aarp_met_env_pollute,livability,0.00031973172692169137,0.00031973172692169137,0.0,88,88,NA,aarp_met_env_pollute
num_homeless_ta,other,0.000290261921834175,0.000290261921834175,0.0,89,89,NA,num_homeless_ta
aarp_met_prox_lib,livability,0.0002596167084478961,0.0002596167084478961,0.0,90,90,NA,aarp_met_prox_lib
food_nearest_fast_food_mi,amenity_food,0.0002542316904405568,0.0002542316904405568,0.0,91,91,NA,food_nearest_fast_food_mi
never_renovated,property,0.00025014129103041353,0.00025014129103041353,0.0,92,92,NA,never_renovated
food_nearest_high_price_mi,amenity_food,0.00022493750611683305,0.00022493750611683305,0.0,93,93,NA,food_nearest_high_price_mi
food_nearest_high_price_mi_missing,amenity_food,0.00017162084907256794,0.00017162084907256794,0.0,94,94,NA,food_nearest_high_price_mi_missing
num_grocery_ta,amenity_food,0.0001592421796724792,0.0001592421796724792,0.0,95,95,NA,num_grocery_ta
num_social_ta,other,0.00015208443003215347,0.00015208443003215347,0.0,96,96,NA,num_social_ta
value_x_sunbelt,other,0.00012143264212274048,0.00012143264212274048,0.0,97,97,NA,value_x_sunbelt
num_senior_ta,other,0.00011815398308632684,0.00011815398308632684,0.0,98,98,NA,num_senior_ta
num_gas_major_brand_ta,other,9.744604677950354e-05,9.744604677950354e-05,0.0,99,99,NA,num_gas_major_brand_ta
is_class_a,other,9.278043794905424e-05,9.278043794905424e-05,0.0,100,100,NA,is_class_a
num_food_ta,amenity_food,7.980474143569895e-05,7.980474143569895e-05,0.0,101,101,NA,num_food_ta
num_gas_ta,other,7.062525186272274e-05,7.062525186272274e-05,0.0,102,102,NA,num_gas_ta
total_amenities_ta,other,5.118587661613334e-05,5.118587661613334e-05,0.0,103,103,NA,total_amenities_ta
num_food_chain_ta,amenity_food,4.589692014834991e-05,4.589692014834991e-05,0.0,104,104,NA,num_food_chain_ta
num_grocery_highend_ta,amenity_food,3.77163289000275e-05,3.77163289000275e-05,0.0,105,105,NA,num_grocery_highend_ta
has_highend_dining,other,3.343265302110236e-05,3.343265302110236e-05,0.0,106,106,NA,has_highend_dining
high_rent,housing,2.3808701811583782e-05,2.3808701811583782e-05,0.0,107,107,NA,high_rent
is_drv10,spatial,4.825120412769626e-06,4.825120412769626e-06,0.0,108,108,10min,is_drv10
num_food_support_ta,amenity_food,2.4689835134193794e-06,2.4689835134193794e-06,0.0,109,109,NA,num_food_support_ta
num_childcare_ta,other,0.0,0.0,0.0,111,111,NA,num_childcare_ta
drivetime_minutes,spatial,0.0,0.0,0.0,110,110,NA,drivetime_minutes
drivetime_seconds,spatial,0.0,0.0,0.0,112,112,NA,drivetime_seconds
msa_ring_num,location,0.0,0.0,0.0,116,116,NA,msa_ring_num
is_downtown,other,0.0,0.0,0.0,113,113,NA,is_downtown
is_outer_suburb,other,0.0,0.0,0.0,114,114,NA,is_outer_suburb
is_drv30,spatial,0.0,0.0,0.0,115,115,30min,is_drv30
suburb_tight_amenities,other,0.0,0.0,0.0,117,117,NA,suburb_tight_amenities
suburb_tight_x_post,other,0.0,0.0,0.0,118,118,NA,suburb_tight_x_post
